date,rm,rf,rmrf,smb,hml,umd
24oct1989,-.0166353,.000529,-.01716428,.00608401,-.00263502,.00318423
25oct1989,.0052856,.000529,.00475657,.00168968,.00653903,.00657929
26oct1989,-.0130492,.0005297,-.01357886,.00732809,.00064713,-.00171783
27oct1989,-.0213536,.000543,-.02189667,.00386197,-.00597913,-.00031479
30oct1989,.013768,.0005367,.01323132,-.00631005,.00181811,-.00413465
31oct1989,.0136259,.000533,.01309289,-.00251331,.00515887,-.00569942
01nov1989,.007378,.0005337,.00684433,-.0066136,-.00303007,.00328266
02nov1989,-.0027831,.000532,-.00331511,.00145397,-.00432554,-.00429873
03nov1989,.0081229,.0005323,.00759058,-.00326187,-.00027236,-.00141808
06nov1989,-.0003206,.0005303,-.00085087,.00113741,-.00022666,-.00345366
07nov1989,.0031045,.000531,.00257351,-.00355232,.0044157,-.0041032
08nov1989,.0112027,.00053,.01067266,-.00468016,.00658055,-.00731131
09nov1989,-.0009196,.000529,-.0014486,.0038711,-.00137715,.00214684
10nov1989,.0052208,.00053,.00469078,-.00406537,-.00025194,-.00184334
13nov1989,-.000186,.000529,-.00071498,.00017726,-.00058569,-.00166944
14nov1989,-.0001717,.000528,-.0006997,-.00064,-.00079329,.00021546
15nov1989,-.004852,.0005286,-.00538065,.00199521,-.00175043,-.00237792
16nov1989,.0025601,.0005286,.00203144,-.00236151,.00064097,-.00136082
17nov1989,.0046337,.000529,.0041047,.00035697,.00203969,.00125535
20nov1989,-.0148222,.0005297,-.01535187,.00875052,.00030104,.0020249
21nov1989,-.000029,.0005293,-.0005583,-.00344291,-.00078823,.00512013
22nov1989,.0029135,.0005297,.00238381,.00096931,-.00134434,.00370183
23nov1989,.0102036,.0005297,.00967399,-.01016595,.00132747,-.0000124
24nov1989,.0008727,.0005297,.00034306,-.00143839,-.00139859,.00126852
27nov1989,.0032019,.000531,.00267093,-.00038062,-.00126088,.00519489
28nov1989,.0076373,.000529,.00710831,-.00141529,-.00080499,-.00455749
29nov1989,.0050624,.0005297,.00453271,-.00550726,-.00229182,.00021878
30nov1989,.0083713,.0005307,.00784066,-.00837414,-.00190794,-.00320484
01dec1989,.0125713,.0005303,.01204101,-.0071122,.00363881,-.00103453
04dec1989,-.0021358,.0005293,-.00266513,.00108021,.00189612,.00224817
05dec1989,.0090448,.00053,.00851485,-.00699904,.00463222,-.00440601
06dec1989,.0101407,.00053,.0096107,-.00601925,.00107844,-.00328581
07dec1989,-.0024386,.0005297,-.00296825,-.00051193,.00352582,.00014442
08dec1989,.0060571,.0005297,.00552742,-.00758618,.00326962,-.00212761
11dec1989,-.0011474,.000529,-.0016764,.00286776,-.00371776,-.00019553
12dec1989,.0042301,.0005297,.00370042,-.0020741,.00359274,-.00193566
13dec1989,.0082899,.0005293,.00776062,-.00500961,-.00031066,.00143808
14dec1989,-.0061263,.0005293,-.00665561,.00840774,-.00347279,-.00340082
15dec1989,-.0082725,.0005293,-.00880177,.0078762,-.00036805,-.00114491
18dec1989,.0053217,.000529,.00479276,-.00231159,-.00163529,-.00077793
19dec1989,-.006223,.00053,-.00675296,.00386307,.00103123,.0005648
20dec1989,.0063839,.0005303,.00585361,-.0061385,.00436229,.00193484
