month	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
2001m7	.02274132	-.00332492	-.05333944	-.04307165	-.06375739	-.05379086	-.06755507	-.06628559	-.06293047	-.04530396
2001m8	-.00761409	.0254732	.02713371	.00975056	-.0068906	.00735628	.01069386	.02309488	-.0130929	-.04099299
2001m9	-.09838029	-.13610015	-.1367255	-.14124563	-.14675589	-.16240757	-.20851337	-.23146323	-.18639181	-.15349094
2001m10	.04709327	.12510787	.06570477	.07241403	.06756457	.06703009	.08112172	.06814743	.09094692	.03842829
2001m11	.1399194	.09879422	.1122999	.13827766	.15309296	.12926573	.12263774	.08390045	.10869102	.06268793
2001m12	.02958374	-.00427773	.00165201	.01662053	.03644124	.02289138	.00770756	.01760423	.03001079	.00472016
2002m1	-.00647321	-.006591	.00743998	-.02261778	.00034918	-.00552121	-.02589233	.01256826	-.02630683	.00373936
2002m2	.02621876	.00762545	-.01783991	-.04468504	-.04061374	.00242329	-.04792008	.01419887	-.01540084	.00858252
2002m3	.05249485	.04465167	.04717874	.08450346	.06753423	.02765853	.04877591	.05745275	.03536831	.05135152
2002m4	.09023883	.02172949	.05587025	.02048341	.01738164	-.0113376	.0175796	.01950331	-.00337326	-.02237026
2002m5	.00606373	.05742781	.02034738	.01467613	-.00281174	.00333179	.01807894	-.00787195	-.03140039	-.0020414
2002m6	-.02204142	-.06795061	-.08667901	-.07562601	-.09997402	-.10278531	-.09370567	-.07586622	-.11231029	-.08625251
2002m7	-.04394663	-.04976642	-.04344405	-.09509456	-.08577499	-.1025998	-.11082528	-.12937138	-.14422488	-.10460594
2002m8	.0044562	-.02418499	-.03248866	-.02626319	-.02083074	.09414803	-.01597217	.00372093	.00351669	.00785543
2002m9	-.05265296	-.08903257	-.1043177	-.1219015	-.11875973	-.11903336	-.12219847	-.10472561	-.12408385	-.11490465
2002m10	.05438199	.01568618	.0260399	.00297966	-.00038136	-.00874737	-.0162218	.00081457	.04677408	.04087729
2002m11	.06438376	.1124618	.09307262	.09961001	.08145699	.08740308	.06474392	.06356999	.03019478	.01634757
2002m12	-.03259078	-.03964637	-.01088895	.00774659	-.02248177	-.02591043	-.03096739	-.04963989	-.05690513	-.04965347
2003m1	.01849859	-.0316415	-.02466526	-.06839756	-.0233585	-.05029402	-.07311045	-.02655378	-.07253024	-.08051751
2003m2	.02006956	-.00706884	-.00041393	-.020831	-.00196003	.02051661	-.0243979	-.00303218	-.00038306	.00476597
